x y z
-0.459 -3.776 0.973
-0.459 -3.571 0.904
-0.459 -3.367 0.836
-0.459 -3.163 0.767
-0.459 -2.959 0.698
-0.459 -2.755 0.630
-0.459 -2.551 0.561
-0.459 -2.347 0.492
-0.459 -2.143 0.423
-0.459 -1.939 0.354
-0.459 -1.735 0.285
-0.459 -1.531 0.216
-0.459 -1.327 0.148
-0.459 -1.122 0.080
-0.459 -0.918 0.013
-0.459 -0.714 0.000
-0.459 -0.510 0.000
-0.459 -0.306 0.000
-0.459 -0.102 0.000
-0.459 0.102 0.000
-0.459 0.306 0.000
-0.459 0.510 0.000
-0.459 0.714 0.000
-0.459 0.918 0.000
-0.459 1.122 1.162
-0.459 1.327 1.794
-0.459 1.531 2.248
-0.459 1.735 2.621
